,minimum,maximum
ACOAD7f,5.721847024337635e-13,-1.2921811483213784e-13
ASPTA,-0.2962205992205969,-0.2962205992137767
ASPTRS,0.0,0.0
ASPabcpp,0.0,9.963171005000829e-13
ACOAD8f,0.0,1.1122541599124045e-13
ASPt2_2pp,0.0,-3.074316779666479e-12
CA2t3pp,0.0,0.0
ACOATA,8.046575924020259e-13,0.0
ACODA,2.402052859189279,2.4020528591804116
CA2tex,0.00047961691353091263,0.00047961691351558483
ASPt2_3pp,0.0,-2.448957889919196e-12
ASPt2pp_copy1,0.0,0.0
CADVtpp,0.0,6.65337713137842e-15
CAT,0.0,0.0
ASPtex,1.2176790233801573e-14,0.0
ACOLIPAtex,0.0,-8.779529515094446e-16
ASR,0.0,0.0
AST,0.0,-1.6174745820888444e-13
ATHRDHr,4.686076879502012e-12,0.0
CAt6pp,-0.00047961691351650976,-0.00047961691353255736
CBIAT,0.0,0.0
CBItonex,0.0,0.0
CBIuabcpp,0.0,2.4083684520395334e-12
CBL1abcpp,0.0,0.0
ATPHs,0.0,-1.4232500519031305e-13
ATPM,8.39,8.39
ATPPRT,0.009592338270623162,0.00959233827091729
CBL1tonex,0.0,0.0
CBLAT,0.0,0.0
ATPS4rpp,36.77491043997425,36.77491044006046
ACONIs,0.0,0.0
BALAt2pp,-1.381713914247724e-13,0.0
BALAtex,2.783293987353159e-14,0.0
BETALDHx,0.0,0.0
CBMKr,0.06344166389103865,0.06344166388924173
CBPS,0.0,-2.8425404079420426e-13
CD2abcpp,0.0,-1.4376840452889826e-12
CD2t3pp,0.0,-3.411048489530344e-13
BETALDHy,0.0,0.0
BPNT,0.024937852023699556,0.024937852036420908
CD2tex,0.0,0.0
ACONMT,0.0,0.0
ACONTa,2.480978241824763,2.4809782418226103
CD2tpp,0.0,-3.2935164811058186e-12
CDAPPA120,0.0,-4.25964080374483e-12
COBALT2tpp,0.0003197446090220042,0.0003197446072361364
ACONTb,2.480978241824242,2.4809782418229065
COLIPAabcpp,0.0,-5.498846445005345e-16
CDAPPA140,0.0,7.728623838007173e-14
CDAPPA141,0.0,1.2441573207308184e-12
CDAPPA160,0.0,-6.920492608561492e-13
COLIPAtex,0.0,-1.1181428245445343e-15
ACOTA,-2.402052859179809,-2.4020528591939
CDAPPA161,0.0,-1.794080311320564e-12
CDAPPA180,0.0,-3.1486601441821873e-13
ACPS1,0.0,0.0
CDAPPA181,0.0,3.673436834879191e-13
CDPMEK,0.0002418840629985521,0.00024188406299517325
CFAS160E,0.0,0.0
CFAS160G,0.0,0.0
CFAS180E,0.0,0.0
CFAS180G,0.0,0.0
CPGNR1,0.0,-3.2002858884237867e-13
CGLYabcpp,0.0,-2.85097826369921e-13
ACS,0.0,2.4309293005918042
CGLYtex,3.909084739217229e-14,0.0
CHLabcpp,0.0,0.0
CHLt2pp,0.0,0.0
CPGNR2,0.0,-1.3632785769181457e-13
CPGNR3,0.0,-5.851926711221391e-13
CPGNUtex,0.0,-2.3457636779598275e-12
CPGNUtpp,0.0,2.178961331081797e-13
CHLtex,0.0,0.0
CHORM,0.031794541274492334,0.031794541278374035
CPGNabcpp,0.0,-1.567104885772393e-12
CHORS,0.03763985342829335,0.03763985342214365
ACSERtex,3.557278876179392e-14,0.0
CHRPL,2.257854585550554e-05,2.2578545855027333e-05
CPGNexs,0.0,-1.8633375249382438e-13
CPGNtonex,0.0,-3.5523592643818997e-12
CINNDO,0.0,0.0
ACSERtpp,0.0,-6.238395446277775e-15
CITL,0.0,-6.299728775261939e-12
CPPPGO,2.2578546244180293e-05,2.257854583406314e-05
CPPPGO2,0.0,6.4796468362684206e-15
CRNBTCT,0.0,0.0
CITt7pp,0.0,-1.3602710425864348e-12
CITtex,-3.31572736254263e-14,0.0
ACt2rpp,-999998.9999999999,-1.107982039070362e-12
CLIPAtex,0.0,-2.487888132279393e-15
CRNCAL2,0.0,0.0
CRNCAR,0.0,0.0
ACt4pp,0.0,999999.0000147403
CRNCBCT,0.0,-3.68109659434786e-11
CRNCDH,0.0,-1.1575209645697899e-14
CRNDCAL2,0.0,-5.734988327508534e-15
CRNDabcpp,0.0,-1.8582877342514267e-12
CRNDt2rpp,1.0480956683644669e-12,0.0
CRNabcpp,0.0,-1.4926981424270393e-12
CLPNH120pp,0.0,-9.293584608076831e-14
CLPNH140pp,0.0,-1.9870450736287923e-13
CLPNH141pp,0.0,7.844318241148362e-14
CLPNH160pp,0.0,-6.067730486183379e-14
CLPNH161pp,0.0,-5.5203096996101536e-14
CLPNH180pp,0.0,-1.667259277735693e-14
CLPNH181pp,0.0,-2.4489578899193715e-13
CLPNS120pp,0.0,-4.111002161988803e-13
CRNt2rpp,0.0,0.0
CRNt7pp,0.0,0.0
CRNt8pp,0.0,0.0
ACtex,5.1338134580808157e-14,0.0
CRNtex,0.0,0.0
CS,2.4809782418242348,2.48097824178561
CSND,0.0,-3.2470557736874e-13
CLPNS140pp,0.0,-6.054064426531066e-13
CLPNS141pp,0.0,-3.5039853674243424e-13
CLPNS160pp,0.0,-5.786248257647992e-13
CSNt2pp,0.0,0.0
CLPNS161pp,0.0,2.8288743482888734e-13
CSNtex,0.0,0.0
ADA,0.0,8.265267970053238e-13
CTBTCAL2,0.0,0.0
CTBTabcpp,0.0,1.2681105230188603e-12
CLPNS180pp,0.0,-1.5360306410754088e-13
CLPNS181pp,0.0,-4.701096226640885e-14
CLt3_2pp,0.0002398084567655379,0.00023980845676166014
CTBTt2rpp,1.133879458295656e-12,0.0
CLtex,0.000479616913531423,0.0004796169135236552
CTPS2,0.016252503052551374,0.01625250305224314
ADCL,6.773563756645734e-05,6.773563756550929e-05
CU1Opp,0.0,0.0
CU1abcpp,0.0,0.0
CU2abcpp,0.0,-7.882583208178646e-13
CMPN,0.0,-4.0087108317132554e-13
CMPtex,0.0,0.0
CO2tex,-20.132826312751515,-20.132826312740097
CO2tpp,-20.132826312749852,-20.132826312759445
COBALT2abcpp,0.0,-3.859295246167385e-13
CU2tex,0.00031974460902116787,0.00031974460900922473
COBALT2t3pp,0.0,-1.7011511056760165e-12
ADCS,6.773563756631731e-05,6.77356375635706e-05
COBALT2tex,0.00031974460902091,0.0003197446090236555
CU2tpp,0.00031974460902091004,0.00031974460767567736
CUt3,0.0,0.0
ADD,0.0,-3.675296097813651e-13
CUtex,5.253923407913049e-12,0.0
CYANST,0.0,0.0
ADEt2rpp,2.9193170869703355e-14,0.0
DAGK141,0.0,6.483178699652103e-13
CYANSTpp,0.0,0.0
CYANtex,0.0,0.0
DAGK160,0.0,-8.811891405658039e-13
CYNTAH,0.0,0.0
ADEtex,3.462078206026421e-14,0.0
CYNTt2pp,0.0,0.0
CYNTtex,0.0,0.0
DAGK161,0.0,6.997022542626474e-13
DAGK180,0.0,-6.166126115689618e-13
DAGK181,0.0,-2.4057876630065375e-13
DALAt2pp,0.0014063497844588732,0.0014063497844520143
CYSDDS,0.0,0.0
DALAtex,2.170967704197477e-14,0.0
CYSDS,0.0,-2.4663474400248243e-13
ADK1,0.0,9.794707795512588
CYSDabcpp,0.0,0.0
DAMPtex,-3.942231231360393e-15,0.0
DAPAL,0.0,0.0
DAPDC,0.03474868581886631,0.03474868582000931
CYSDtex,4.1671346646945394e-14,1.2586638458097296e-16
CYSS,0.024937852023749,0.024937851204797433
CYSSADS,0.0,0.0
CYSTL,0.01558456284177882,0.015584562841886859
DAPE,0.03756138538776675,0.037561385387164005
DAPabcpp,2.8394772086116807e-14,0.0
DAPtex,8.936069545063069e-14,0.0
DASYN120,0.0,-2.9626785756785783e-13
DASYN140,0.0,-4.340340545972515e-13
DASYN141,3.2805101176158327e-18,-3.543040712853358e-13
CYSTRS,0.0,0.0
CYSabc2pp,0.0,-8.303462201635025e-13
ADK3,-0.07702291234340847,4.879111748940616
CYSabcpp,0.0,-1.61271012475617e-12
DASYN160,0.00646070408538462,0.006460704085204253
DASYN161,0.007614943649277033,0.007614943649077451
DASYN180,0.0,-1.9482334642124364e-12
CYStex,-4.586049916088479e-14,0.0
CYStpp,0.0,-4.919781475284151e-13
ADK4,1.2276775135108521e-12,0.0
CYTBD2pp,0.0,-2.901572493491007e-12
CYTBDpp,0.0,-2.8512811840733496e-12
DASYN181,0.0,1.3558916097147877e-12
DATPHs,0.0,4.77443891143922e-13
ADMDC,4.744206759870289,4.74420675993872
DB4PS,9.031418342207423e-05,9.031418341970715e-05
DBTS,0.0,0.0
CYTBO3_4pp,23.230256973406867,23.230256973439317
CYTD,0.0,-3.1330077089285104e-13
CYTDH,0.0,-5.827460864158908e-13
CYTDK2,0.0,-3.629705443987682e-13
